run,model,final_price
1,bootstrap,0.018153345340925497
2,bootstrap,-0.007616680301540502
3,bootstrap,-0.016411497485307014
4,bootstrap,0.009733936903851603
5,bootstrap,0.054593490141883194
6,bootstrap,0.0015268187147920997
7,bootstrap,-0.0027623693806453353
8,bootstrap,-0.007244399306809313
9,bootstrap,0.0068867187314423095
10,bootstrap,0.028619466120685555
11,bootstrap,0.030898255052351997
12,bootstrap,-0.007444626389514375
13,bootstrap,-0.0029221740611564684
14,bootstrap,-0.000965420562180852
15,bootstrap,-0.008695910390094097
16,bootstrap,-0.003588552997187522
17,bootstrap,0.0005327843699920454
18,bootstrap,-0.013937121548093234
19,bootstrap,-0.0012307391772934384
20,bootstrap,0.004802480692214228
21,bootstrap,0.015121749591096467
22,bootstrap,0.03194173313805515
23,bootstrap,-0.0034260190457824358
24,bootstrap,0.018496192854493776
25,bootstrap,-0.003522358215004018
26,bootstrap,0.013519533908592285
27,bootstrap,-0.016953078084490203
28,bootstrap,0.0016960455719208234
29,bootstrap,0.013519533908592285
30,bootstrap,-0.007995769465748204
31,bootstrap,0.0013440319554551827
32,bootstrap,0.01754293984484301
33,bootstrap,-0.008722813395933393
34,bootstrap,0.003927772393855777
35,bootstrap,-0.018858761204843533
36,bootstrap,-0.007054066322475627
37,bootstrap,0.026750995062031935
38,bootstrap,0.008945040286932215
39,bootstrap,-0.012369664186503426
40,bootstrap,0.007995459232200464
41,bootstrap,-0.011561620973759679
42,bootstrap,0.019382029369127807
43,bootstrap,0.025524001318737666
44,bootstrap,-0.04195311127750467
45,bootstrap,0.01010864946701684
46,bootstrap,0.023285953195980147
47,bootstrap,0.016182825291915393
48,bootstrap,-0.0034999175650116676
49,bootstrap,0.01577284381266808
50,bootstrap,0.0026438444827687757
51,bootstrap,-0.003445049676669143
52,bootstrap,0.03549133956443917
53,bootstrap,-0.029885487117683796
54,bootstrap,0.033613404680500336
55,bootstrap,-0.023496329320671028
56,bootstrap,-0.004891777403666198
57,bootstrap,-0.0026850108124176764
58,bootstrap,-0.02450890782502646
59,bootstrap,-0.0046079635335493085
60,bootstrap,0.014120873757393237
61,bootstrap,-0.008952531659256246
62,bootstrap,-0.03644483307682511
63,bootstrap,0.01317487003290796
64,bootstrap,-0.0152202969471672
65,bootstrap,-0.007871758499419346
66,bootstrap,0.0023884601111796577
67,bootstrap,0.00041080282201222396
68,bootstrap,0.04028435167895683
69,bootstrap,-0.023554630740574622
70,bootstrap,0.009394881375213604
71,bootstrap,-0.019359824303965323
72,bootstrap,-0.012033621101144587
73,bootstrap,-0.0024638985123207613
74,bootstrap,0.01942990324629723
75,bootstrap,0.017893278134519575
76,bootstrap,-0.01815936362967696
77,bootstrap,0.03130532291297894
78,bootstrap,-0.015207817075585384
79,bootstrap,0.009889126884820465
80,bootstrap,0.028544209637639595
81,bootstrap,0.016531617053667125
82,bootstrap,0.0462444895066354
83,bootstrap,-0.04195311127750467
84,bootstrap,-0.04588355569633917
85,bootstrap,0.008923404150614989
86,bootstrap,0.018153345340925497
87,bootstrap,0.027941325806245088
88,bootstrap,0.00966282707176136
89,bootstrap,0.021860386755455652
90,bootstrap,-0.02130242983329722
91,bootstrap,-0.05099441875041988
92,bootstrap,0.024233108947512294
93,bootstrap,0.000999016213554249
94,bootstrap,0.01942990324629723
95,bootstrap,0.026201978301389817
